product_id,product_category,product_name,product_price,scrapy_datetime,additional material information,art. no.,care instructions,collection,composition,concept,description,fit,imported,material,size,style_id,color_id
0690449043,men_jeans_ripped,Skinny Jeans,$ 39.99,2022-11-29 16:18:45,,0690449043,Only non-chlorine bleach when needed,,"Cotton 98%, Spandex 2%",DENIM,Light denim blue,Skinny fit,Yes,keyFibreType,,0690449,043
0690449043,men_jeans_ripped,Skinny Jeans,$ 39.99,2022-11-29 16:18:45,,0690449043,Medium iron,,"Pocket lining: Polyester 65%, Cotton 35%",DENIM,Light denim blue,Skinny fit,Yes,Denim,,0690449,043
1024256001,men_jeans_slim,Slim Jeans,$ 19.99,2022-11-29 16:18:45,,1024256001,Only non-chlorine bleach when needed,,"Shell: Cotton 99%, Spandex 1%",DENIM,Black,Slim fit,Yes,Denim,,1024256,001
1024256001,men_jeans_slim,Slim Jeans,$ 19.99,2022-11-29 16:18:45,,1024256001,Medium iron,,"Pocket lining: Polyester 65%, Cotton 35%",DENIM,Solid-color,Slim fit,Yes,Denim,,1024256,001
0985159001,men_jeans_skinny,Skinny Jeans,$ 24.99,2022-11-29 16:18:45,Recycled cotton 20%,0985159001,Only non-chlorine bleach when needed,,"Shell: Cotton 99%, Spandex 1%",DENIM,Black,Skinny fit,Yes,Denim,,0985159,001
0985159001,men_jeans_skinny,Skinny Jeans,$ 24.99,2022-11-29 16:18:45,Recycled cotton 20%,0985159001,Medium iron,,Pocket lining: Cotton 100%,DENIM,Solid-color,Skinny fit,Yes,Denim,,0985159,001
0690449067,men_jeans_ripped,Skinny Jeans,$ 39.99,2022-11-29 16:18:45,,0690449067,Only non-chlorine bleach when needed,,"Shell: Cotton 98%, Spandex 2%",DENIM,Denim blue,Skinny fit,Yes,keyFibreType,,0690449,067
0690449067,men_jeans_ripped,Skinny Jeans,$ 39.99,2022-11-29 16:18:45,,0690449067,Medium iron,,"Pocket lining: Polyester 65%, Cotton 35%",DENIM,Solid-color,Skinny fit,Yes,Denim,,0690449,067
1008549006,men_jeans_regular,Regular Jeans,$ 24.99,2022-11-29 16:18:45,Recycled cotton 20%,1008549006,Only non-chlorine bleach when needed,,"Shell: Cotton 99%, Spandex 1%",DENIM,Black,Regular fit,Yes,keyFibreType,,1008549,006
1008549006,men_jeans_regular,Regular Jeans,$ 24.99,2022-11-29 16:18:45,Recycled cotton 20%,1008549006,Medium iron,,Pocket: Cotton 100%,DENIM,Solid-color,Regular fit,Yes,Denim,,1008549,006
